Date,ISO3166-2,Relative Humidity Surface,Solar Radiation,Surface Pressure,Temperature Above Ground,Total Precipiation,UV-Index,Wind Speed
2020-06-28,DE-HH,75.20385,3249739.645833,2419001.166667,291.93721600000003,0.002428,31.060606,2.88065
2020-06-29,DE-HH,58.613099,14752311.818182,2415187.456439,291.19154100000003,0.000368,42.939394,4.005619
2020-06-30,DE-HH,69.407165,811455.2296399999,2406792.392045,288.818304,0.003936,24.962121,5.448516000000001
2020-07-01,DE-HH,81.853391,6192924.920455,2404379.484848,290.3253,0.0063030000000000004,36.037879,3.485408
2020-07-02,DE-HH,86.563666,7869845.583333001,2414144.104167,289.53740600000003,0.004821,29.856060999999997,2.68387
2020-07-03,DE-HH,76.64021,9166167.174242,2425628.2632580004,290.381975,0.000768,30.863636,3.5274300000000003
2020-07-04,DE-HH,83.029072,654027.417614,2418947.929924,290.05446,0.003428,21.871212,5.147727
2020-07-05,DE-HH,80.50807900000001,3147368.386364,2408200.125,291.47775099999996,0.002535,26.159091,5.5553349999999995
2020-07-06,DE-HH,76.214112,12508571.386364,2417637.778409,287.486926,0.005808,40.212121,5.906345
2020-07-07,DE-HH,74.98409000000001,11154012.712121,2432105.933712,287.0852,0.002314,36.992424,4.079356
2020-07-08,DE-HH,72.38150300000001,12405349.053030001,2428168.520833,287.294669,0.0011769999999999999,35.280303,3.02298
2020-07-09,DE-HH,92.898738,79759.337417,2422017.0757580004,285.16562700000003,0.012754000000000001,24.484848,2.233649
2020-07-10,DE-HH,87.972504,1350977.809659,2418744.1117419996,286.176042,0.012578,28.871212,3.618182
2020-07-11,DE-HH,72.841571,15323655.401515,2446188.373106,287.122159,0.000807,42.166667,3.697317
2020-07-12,DE-HH,69.113538,10721782.159091,2456868.102273,288.008082,0.000305,40.674242,2.991446
2020-07-13,DE-HH,65.95748,17284739.628788,2446540.081439,289.717773,0.0,40.727273,2.027746
2020-07-14,DE-HH,78.492266,6244513.393939,2426167.128788,289.29659,0.004634,35.310606,2.501673
2020-07-15,DE-HH,74.47752,12907024.053030001,2423587.327652,289.878852,0.002,39.643939,2.579861
2020-07-16,DE-HH,66.690877,12365785.909091,2431911.67803,289.974683,0.000223,39.954545,1.8095009999999998
2020-07-17,DE-HH,64.196968,18471136.924242,2439881.910985,291.386423,0.0,43.143939,1.790625
2020-07-18,DE-HH,63.016887,7355725.140152001,2438138.939394,293.366196,0.0,36.75,1.634691
2020-07-19,DE-HH,66.571306,7720189.140152001,2428590.935606,294.422348,9.6e-05,35.136364,2.6020830000000004
2020-07-20,DE-HH,69.132068,12209576.272727,2435595.429924,290.10312400000004,0.00314,35.909091,3.6664769999999995
2020-07-21,DE-HH,72.205777,13972245.045455,2444979.982955,287.708267,0.00046399999999999995,32.856061,3.17803
2020-07-22,DE-HH,69.65034399999999,9379134.25,2444384.032197,288.134096,0.000508,34.651515,2.5079860000000003
2020-07-23,DE-HH,61.391445999999995,16943448.386364,2430647.179924,290.960416,0.0,39.136364,2.008996
2020-07-24,DE-HH,70.688604,7925639.583333001,2415615.604167,291.40495,0.002977,33.280303,3.7303660000000005
2020-07-25,DE-HH,75.350631,10587587.522727,2417568.306818,291.899335,0.001074,30.159090999999997,3.070076
2020-07-26,DE-HH,79.058868,5428568.587121,2415855.149621,291.632929,0.011275,31.674242,3.394886
2020-07-27,DE-HH,74.2042,3907755.706439,2424080.960227,291.387721,0.00255,35.727273,2.5657200000000002
2020-07-28,DE-HH,67.496654,12514977.340909,2414208.935606,291.48444,0.000301,34.55303,4.673516
2020-07-29,DE-HH,65.15824,8884244.882576,2431962.755682,289.26146,0.000556,31.083333000000003,5.175852
