index,date,iso3166-2,relative_humidity_surface,solar_radiation,surface_pressure,temperature_above_ground,total_precipiation,uv_index,wind_speed
8487,2020-07-19,DE-NW,60.1238,11529514.973405,2388748.142833,21.3236,0.00016999999999999999,39.298625,2.482393
8541,2020-07-20,DE-NW,68.126359,13001933.093644,2397122.249718,17.02794399999999,0.0007480000000000001,35.511382,2.779117
8595,2020-07-21,DE-NW,62.03555600000001,13310621.490872,2406463.860548,15.618270000000052,0.00010800000000000001,43.875592,2.387104
8649,2020-07-22,DE-NW,61.754425,11207139.419315,2403993.027102,15.801095000000032,0.000113,40.856435,2.049083
8703,2020-07-23,DE-NW,56.866377,19546140.040342998,2390328.201882,18.15565700000002,0.0,44.240252000000005,1.6528939999999999
8757,2020-07-24,DE-NW,64.597844,12231582.200023,2379923.817951,19.106786,0.0013800000000000002,35.835474,3.0339549999999997
8811,2020-07-25,DE-NW,71.49851600000001,5255786.385621,2378115.416554,19.391321000000005,0.002601,29.564571,3.045836
8865,2020-07-26,DE-NW,73.450358,11356140.506649,2379075.8415599996,18.68106700000004,0.012032,36.7167,3.8091470000000003
8919,2020-07-27,DE-NW,66.517545,7069111.128352,2380890.080741,19.315134,0.002026,35.770115000000004,2.7097759999999997
8973,2020-07-28,DE-NW,61.005072999999996,9086731.377507001,2380525.196755,19.065920000000062,0.000712,35.785891,4.5917
9027,2020-07-29,DE-NW,59.939949,10229324.026256,2397266.680696,16.890258000000017,6.1e-05,37.860717,3.268647
9081,2020-07-30,DE-NW,55.771533,19645717.805274,2399599.2195180003,18.72509100000002,0.0,40.853054,1.6780110000000001
9135,2020-07-31,DE-NW,48.021337,21068156.617534,2391024.037638,23.801825000000008,0.0,41.025693,2.4290540000000003
9189,2020-08-01,DE-NW,63.155381999999996,11242861.178161,2385197.686782,23.284682000000032,0.003322,38.280595,2.607148
9243,2020-08-02,DE-NW,70.554845,7121215.063895,2385787.224082,19.227796000000012,0.002069,32.630381,2.680516
9297,2020-08-03,DE-NW,64.358789,10105359.855026,2383229.10142,16.835555,0.000161,36.69574,1.9952279999999998
9351,2020-08-04,DE-NW,62.219024,13329955.162046,2389928.156525,16.784140000000036,0.000223,41.362632,2.199761
9405,2020-08-05,DE-NW,46.654236,20420039.680865,2391240.1355080004,20.825206999999978,0.0,41.180753,2.579377
9459,2020-08-06,DE-NW,42.737561,19956197.191346,2397867.223405,23.752917000000025,0.0,41.280144,2.184966
9513,2020-08-07,DE-NW,43.359096,20273192.676133,2398908.281835,25.244695000000036,0.0,40.904665,1.8423209999999999
9567,2020-08-08,DE-NW,44.699064,19530769.554203,2396749.3567729997,26.933564999999987,2.4e-05,40.564796,1.834666
9621,2020-08-09,DE-NW,58.501124,11569207.327586,2392330.91785,24.958124999999995,0.001893,36.707685,2.42049
9675,2020-08-10,DE-NW,59.204036,15733867.688979002,2388109.021185,25.352411000000018,0.001009,39.389678,2.935411
9729,2020-08-11,DE-NW,58.912096,14017338.931033999,2388999.348152,25.575549000000024,0.00081,38.927654,3.13116
9783,2020-08-12,DE-NW,64.17834599999999,15970748.382466,2386784.319529,24.300662000000045,0.002863,37.311246000000004,3.094894
9837,2020-08-13,DE-NW,68.648549,7927217.9572910005,2381018.538145,23.860404000000017,0.003621,33.901734999999995,2.250644
9891,2020-08-14,DE-NW,74.946736,5719860.353476,2382724.089588,22.500589000000048,0.006945000000000001,32.204417,2.04351
9945,2020-08-15,DE-NW,84.244372,7671626.043497999,2385894.484167,20.90869600000002,0.005268999999999999,26.462024,1.52958
9999,2020-08-16,DE-NW,74.004048,13253515.604237,2378084.85249,22.79564800000003,0.0067079999999999996,35.269551,2.325903
10053,2020-08-17,DE-NW,79.965779,3769044.9371760003,2375075.292484,20.022595000000024,0.007225,28.638720000000003,2.01342
10107,2020-08-18,DE-NW,74.93694599999999,11811019.763804,2377534.118041,18.81447800000001,0.00146,31.500338,2.446221
10161,2020-08-19,DE-NW,65.763841,9333990.020058999,2373967.082939,20.601585999999998,0.000604,34.219291999999996,2.413449
10215,2020-08-20,DE-NW,66.851046,8258475.767185001,2371403.201657,23.945806000000005,0.001116,25.830291,3.127226
10269,2020-08-21,DE-NW,64.92125,6047105.093025,2375134.788032,24.297380000000032,0.005634,28.617309000000002,3.337007
10323,2020-08-22,DE-NW,63.525597999999995,11409650.668019,2386316.452727,20.371440000000007,0.000371,31.179851,4.301387
10377,2020-08-23,DE-NW,72.383402,8504754.873338,2388801.555556,17.071124999999995,0.0010710000000000001,23.721432999999998,4.523308
10431,2020-08-24,DE-NW,74.947023,5411357.366013,2387418.070318,16.088115000000016,0.001297,21.112689000000003,3.841856
10485,2020-08-25,DE-NW,74.91640799999999,2173614.503634,2373092.8145709997,16.84415200000001,0.001968,23.628127,3.8002010000000004
10539,2020-08-26,DE-NW,74.157425,1125219.908689,2372646.345729,16.403099000000054,0.001853,17.010142000000002,8.223749
10593,2020-08-27,DE-NW,72.810644,5245911.20577,2383994.7268990004,16.41537599999998,0.002652,23.908722,2.386091
10647,2020-08-28,DE-NW,72.712651,8270871.2241940005,2356641.9291189997,16.525801,0.001808,22.888664000000002,3.870685
10701,2020-08-29,DE-NW,73.206029,11093161.919315,2361771.333446,15.184237000000053,0.000674,26.322064,3.146687
10755,2020-08-30,DE-NW,77.846112,5353327.905736,2374815.42309,15.11974200000003,0.001254,21.919766,2.029815
10809,2020-08-31,DE-NW,76.009124,6102745.670554,2393687.899876,15.219977000000029,0.001085,20.107956,2.48793
10863,2020-09-01,DE-NW,74.139126,7872105.662214999,2395200.9166099997,14.334225000000004,0.000585,24.60311,1.824012
10917,2020-09-02,DE-NW,67.919224,11638269.052964,2395075.950079,14.512256000000036,0.000113,29.491547999999998,1.570819
10971,2020-09-03,DE-NW,81.853375,466934.53306000005,2396057.154722,14.125941000000012,0.008636,18.475096,3.350826
11025,2020-09-04,DE-NW,83.764966,4505678.516396,2398571.173146,17.979220000000055,0.002101,16.654270999999998,3.293389
11079,2020-09-05,DE-NW,79.47264799999999,4623581.502789,2394257.8904669997,14.120343000000048,0.001047,19.246338,2.725568
11133,2020-09-06,DE-NW,73.727515,9101409.958756,2398209.019664,13.012961000000018,0.000281,24.260085999999998,2.209323
11187,2020-09-07,DE-NW,72.406779,8264000.868605,2407171.6317330003,14.090090000000032,0.00021,25.057021,2.03539
11241,2020-09-08,DE-NW,76.783275,3480693.436475,2410465.47842,16.03697500000004,0.000138,16.59432,3.029366
11295,2020-09-09,DE-NW,83.092737,2027159.4344150003,2401899.037075,17.69589700000006,0.001165,15.670273000000002,3.174435
11349,2020-09-10,DE-NW,72.464596,7571042.64503,2402180.703291,14.13274100000001,4e-05,23.563444,1.661102
11403,2020-09-11,DE-NW,70.933679,12577014.937345,2392205.472898,14.395989000000043,0.0,24.020284,1.600894
11457,2020-09-12,DE-NW,72.9753,11492878.93757,2398222.177259,15.478621000000032,1e-05,23.485012,2.755604
11511,2020-09-13,DE-NW,71.740654,12525651.163624,2411301.102152,16.867975,0.0,23.657652,1.969416
11565,2020-09-14,DE-NW,62.694860999999996,12947740.401397001,2408342.546879,20.689850000000035,0.0,23.890241,2.042446
11619,2020-09-15,DE-NW,59.68538,11097284.739464,2398089.751352,22.23965800000002,0.0,22.074375,1.515087
11673,2020-09-16,DE-NW,66.790971,11435342.835925,2399546.1200139998,20.094536000000005,6.9e-05,22.995267000000002,3.071904
11727,2020-09-17,DE-NW,62.511168000000005,10937436.08339,2415353.297667,14.125762000000009,5e-06,23.514988,3.6433739999999997
11781,2020-09-18,DE-NW,55.063836,12971686.485463,2408731.577868,14.517383999999993,0.0,23.126437,3.700193
11835,2020-09-19,DE-NW,49.203241,12860117.736984,2395798.328431,16.003331000000003,0.0,22.622718,2.830303
11889,2020-09-20,DE-NW,53.522321999999996,12042729.780032001,2391838.208305,15.569885000000056,0.0,21.741041,2.441247
11943,2020-09-21,DE-NW,58.571994,12209101.170611,2387744.0926860003,16.115206999999998,0.0,20.868605,1.5857709999999998
11997,2020-09-22,DE-NW,62.137702000000004,11949055.439486,2374402.5266509997,16.37976900000001,0.0,19.720307000000002,1.485101
12051,2020-09-23,DE-NW,62.592112,9935430.473969,2361642.402243,17.36871500000001,0.000628,17.922696,3.127673
12105,2020-09-24,DE-NW,66.234371,7504242.569078,2355216.778623,15.213853000000029,0.005364,16.634438,4.723235
12159,2020-09-25,DE-NW,75.260841,4905925.704136,2342661.599842,11.202431999999988,0.001594,12.401622999999999,4.408302
12213,2020-09-26,DE-NW,86.860502,432772.576139,2343103.748366,9.895376999999996,0.018940000000000002,8.393735000000001,3.258898
12267,2020-09-27,DE-NW,84.467166,1050749.0443290002,2356719.045245,10.536098000000038,0.0038380000000000003,8.518367999999999,2.475648
12321,2020-09-28,DE-NW,83.625337,528162.4176180001,2374824.588573,11.00540600000005,0.0008300000000000001,9.758395,2.3248330000000004
12375,2020-09-29,DE-NW,90.204392,1695587.656044,2388103.423935,11.544317000000035,0.002841,8.60018,2.1702790000000003
12429,2020-09-30,DE-NW,85.958398,1888077.7577119998,2383633.921174,14.195131000000003,0.000576,11.709263,2.3980810000000004
12483,2020-10-01,DE-NW,84.77493100000001,2866670.7611419996,2357398.503212,13.018939999999986,0.0038799999999999998,11.742394,3.5210489999999997
12537,2020-10-02,DE-NW,79.784639,4159598.3768589995,2337796.702896,13.477127999999993,0.00043200000000000004,13.176920999999998,4.028364
12591,2020-10-03,DE-NW,85.95571600000001,1940245.649214,2327816.615393,12.680612999999994,0.005465,9.402073,3.493447
