index,date,iso3166-2,relative_humidity_surface,solar_radiation,surface_pressure,temperature_above_ground,total_precipiation,uv_index,wind_speed
4590,2020-05-08,DE-BB,54.083298,17619074.653025,2423987.819232,13.683258000000023,0.0,28.824002,2.137586
4644,2020-05-09,DE-BB,51.034508,18530368.498619,2416300.828333,15.626486,2.7000000000000002e-05,31.461461,1.821795
4698,2020-05-10,DE-BB,62.695016,14171997.088125,2395671.6201979998,17.182855000000018,0.000657,26.065277,2.485941
4752,2020-05-11,DE-BB,82.644472,335271.055433,2399945.8757849997,6.899739000000011,0.005741,15.076073000000001,4.248175
4806,2020-05-12,DE-BB,63.58489300000001,10405634.844841,2417709.293937,6.653391999999997,0.000766,26.209139,3.801511
4860,2020-05-13,DE-BB,60.996648,10700373.763871001,2411546.016257,9.446925000000022,0.000796,27.130053000000004,2.322571
4914,2020-05-14,DE-BB,61.23049,13838681.305046,2422724.122395,9.150241000000051,0.000314,31.116495,2.705365
4968,2020-05-15,DE-BB,57.87067,13215943.468992999,2426131.0148759997,9.311756000000003,2.4e-05,30.592518,2.851426
5022,2020-05-16,DE-BB,55.591432999999995,7579631.08599,2430028.861348,11.682650000000024,9.8e-05,29.452171999999997,3.780878
5076,2020-05-17,DE-BB,53.417303000000004,13020809.608083999,2430920.0112349996,13.350205000000017,0.000297,35.709013,3.751589
5130,2020-05-18,DE-BB,55.525626,5255058.524181,2430427.436982,15.682159000000013,0.000206,22.51996,3.4713
5184,2020-05-19,DE-BB,66.084464,3912383.115585,2428477.748807,15.083889999999997,0.000361,20.587748,3.3190470000000003
5238,2020-05-20,DE-BB,54.937391000000005,16637688.113231,2434345.1826509996,14.551838000000032,2.3e-05,36.223199,2.327561
5292,2020-05-21,DE-BB,49.715771999999994,18059153.014310997,2438519.0048330002,14.431025000000034,0.0,36.025358000000004,2.123484
5346,2020-05-22,DE-BB,49.121866,11130803.11524,2431847.281321,16.406727000000046,0.003588,25.95531,3.2587900000000003
5400,2020-05-23,DE-BB,73.236,2534897.431725,2428882.2845220002,14.710659000000021,0.003168,20.219182,3.350654
5454,2020-05-24,DE-BB,76.988537,9231037.961461,2438073.02247,12.12420800000001,0.005855,22.206879,4.059496
5508,2020-05-25,DE-BB,81.43360200000001,4396374.960426,2448686.073688,11.697248000000002,0.001741,19.225709,3.7432440000000002
5562,2020-05-26,DE-BB,67.728087,13038365.734246,2462573.895619,13.904025999999988,0.000526,37.173738,2.323293
5616,2020-05-27,DE-BB,58.711240000000004,13140188.686668,2456532.7252700003,15.885553000000016,0.0007440000000000001,37.364298,2.260825
5670,2020-05-28,DE-BB,60.026646,15521312.089631,2452099.0650259997,14.471757000000025,0.000811,34.938489000000004,3.649663
5724,2020-05-29,DE-BB,54.911912,14419796.015064001,2448847.749749,14.285375999999985,0.000123,37.650515000000006,2.738635
5778,2020-05-30,DE-BB,54.48804200000001,10752658.638589,2439205.685413,13.654057000000023,7.2e-05,33.788602000000004,3.870446
5832,2020-05-31,DE-BB,59.553052,11690121.943133,2433576.246297,15.294370000000015,0.000239,33.734621999999995,4.179947
5886,2020-06-01,DE-BB,52.218564,22172374.595029,2436862.867625,16.80004200000002,0.0,43.718554,3.331107
5940,2020-06-02,DE-BB,51.042578999999996,19872645.962089002,2420311.326764,18.730060000000037,0.000642,42.907607,2.774628
5994,2020-06-03,DE-BB,52.378198,19767456.193322,2394555.394175,18.03603700000002,5.6000000000000006e-05,41.429074,2.128052
6048,2020-06-04,DE-BB,67.37357,7995731.838125,2370176.762679,17.048027999999988,0.007474,25.67989,2.981746
6102,2020-06-05,DE-BB,72.461851,10626511.738765,2369373.8875220004,13.952016000000015,0.002124,26.073311999999998,4.116603
6156,2020-06-06,DE-BB,64.564622,11886753.065653998,2387073.070926,13.358559000000014,0.000687,34.351996,4.228948
6210,2020-06-07,DE-BB,71.642359,3388395.6429669997,2400431.776425,14.393775000000005,0.002311,28.279187,2.459374
6264,2020-06-08,DE-BB,60.775725,9769057.611474,2413975.639907,16.020913000000007,0.000271,37.52473,1.8867029999999998
6318,2020-06-09,DE-BB,59.063015,10923292.792492999,2419904.260043,17.049593000000016,0.00029,34.340196,2.431073
6372,2020-06-10,DE-BB,63.859187,8659600.169344999,2414543.5481419996,16.80231900000001,0.001228,27.445141999999997,3.20173
6426,2020-06-11,DE-BB,85.866192,1978206.739471,2407789.293937,17.116963,0.004462,22.220437,2.204048
6480,2020-06-12,DE-BB,76.924858,11262174.765000999,2408369.915955,20.306846000000007,0.000588,34.068290000000005,2.547271
6534,2020-06-13,DE-BB,80.676615,13519008.385639,2407771.88363,21.39259400000003,0.00692,37.194326000000004,2.993957
6588,2020-06-14,DE-BB,72.193737,10059276.190058,2411069.369382,20.064075000000003,0.001189,29.942003999999997,3.186784
6642,2020-06-15,DE-BB,58.866684,15252420.567410998,2416378.667148,19.30894900000004,8e-06,44.824754999999996,2.493216
6696,2020-06-16,DE-BB,58.951611,16702153.944514,2414822.481044,20.196165000000008,2.8999999999999997e-05,40.623399,1.5195379999999998
6750,2020-06-17,DE-BB,55.207853,13300108.720562,2408250.948155,22.18397200000004,1.2e-05,41.154657,2.095671
6804,2020-06-18,DE-BB,70.449839,10846221.703364,2405028.555674,20.169535999999994,0.0036630000000000005,27.588752000000003,2.7184009999999996
6858,2020-06-19,DE-BB,85.627862,1215512.125636,2411454.945393,17.455408000000034,0.004726,21.351996,3.112131
6912,2020-06-20,DE-BB,81.41131,1231008.668956,2420629.0213409998,16.930589999999995,0.005037,21.749435000000002,4.667516
6966,2020-06-21,DE-BB,74.976895,6557599.821767,2425255.347602,17.803768000000048,0.0043170000000000005,25.675872000000002,3.408356
7020,2020-06-22,DE-BB,61.500321,18192218.876726,2432598.400389,19.455585000000042,7.4e-05,44.675872,3.163846
7074,2020-06-23,DE-BB,55.768863,20038876.926186,2440740.209578,18.445493000000056,2e-06,45.355762,2.862314
7128,2020-06-24,DE-BB,64.787662,9761550.817098,2440106.25069,19.523341000000016,0.0013779999999999999,36.708009000000004,2.385889
7182,2020-06-25,DE-BB,63.507358999999994,13492038.731609,2432345.665202,22.329950999999994,0.00133,39.941752,3.2142619999999997
7236,2020-06-26,DE-BB,70.01049599999999,14781634.53176,2417779.406729,21.892206999999985,0.0034909999999999997,38.323625,2.477198
