date,region_code,relative_humidity_surface,solar_radiation,surface_pressure,temperature_above_ground,total_precipiation,uv_index,wind_speed,region
2020-05-08,DE-MV,63.135889,19679950.73697,2432676.363304,11.814733000000047,0.0,32.104846,2.868864,Baden-Württemberg
2020-05-08,DE-NI,56.770589,17037271.890351,2424000.276864,13.147443000000067,0.0,29.218242,1.7266740000000003,Bayern
2020-05-08,DE-NW,50.288021,16569501.243857998,2393426.650665,14.67868900000002,0.0,32.464954,1.7011450000000001,Berlin
2020-05-08,DE-RP,48.972481,14523145.072589999,2351079.724316,15.995837000000051,1.1e-05,35.301864,1.769607,Brandenburg
2020-05-08,DE-SH,68.413048,19285940.614835,2438474.345733,11.248663000000022,0.0,32.603664,2.9951220000000003,Bremen
2020-05-08,DE-SL,47.236583,13082428.133152,2351917.069973,17.070700000000045,4.1e-05,36.423913,1.8354169999999999,Hamburg
2020-05-08,DE-SN,53.213626,15438245.609082999,2359045.07152,14.067802000000029,0.0,28.931664,2.3190720000000002,Hessen
2020-05-08,DE-ST,51.765919,16020744.949982,2408477.641688,14.341244000000017,0.0,27.201912,2.1087849999999997,Mecklenburg-Vorpommern
2020-05-08,DE-TH,48.514790000000005,15952145.19981,2340313.428164,14.620156000000009,0.0,27.509515000000004,2.41968,Niedersachsen
2020-05-09,DE-BB,51.034508,18530368.498619,2416300.828333,15.626486,2.7000000000000002e-05,31.461461,1.821795,Thüringen
2020-05-09,DE-BE,48.495162,19170796.979020998,2421115.678322,16.66022700000002,0.0,33.972028,2.131031,Baden-Württemberg
2020-05-09,DE-BW,60.18569599999999,13157694.533857001,2294118.499018,17.043893000000025,0.001663,33.18373,2.295938,Bayern
2020-05-09,DE-BY,62.412794999999996,11726327.36069,2279566.1624580002,16.300162999999998,0.002666,28.707352,1.933007,Berlin
2020-05-09,DE-HB,57.23969,19040547.551282,2429820.0897439998,16.563887000000022,6e-06,35.0,2.405075,Brandenburg
2020-05-09,DE-HE,60.30731899999999,7981654.902000999,2344712.821508,14.882879000000003,0.000779,21.209707,2.181084,Bremen
2020-05-09,DE-HH,58.808932999999996,16921993.416667003,2426106.94697,15.747002000000009,8.8e-05,34.25,1.479451,Hamburg
