,date,iso3166-2,RelativeHumiditySurface,SolarRadiation,Surfacepressure,TemperatureAboveGround,Totalprecipitation,UVIndex,WindSpeed
9839,2020-08-13,DE-SH,63.639917000000004,18235560.265862,2431685.794013,295.05110099999996,1e-06,35.196604,4.388509
9893,2020-08-14,DE-SH,67.080605,14324358.911081,2427382.016421,294.516207,6.1e-05,32.288651,3.042491
9947,2020-08-15,DE-SH,66.673697,15588693.896335999,2430620.531725,295.46461600000004,5.4000000000000005e-05,34.905719,2.478024
10001,2020-08-16,DE-SH,59.113769999999995,13801227.180518,2426559.086014,296.733589,1e-06,34.824397,3.257248
10055,2020-08-17,DE-SH,62.354528,12788922.283735001,2417720.714812,295.747137,0.000458,33.021001,3.1049
10109,2020-08-18,DE-SH,77.159064,8128407.788203999,2417575.167337,293.508739,0.002231,24.063896,2.691471
10163,2020-08-19,DE-SH,71.397968,13862319.560769001,2418557.704535,293.010426,0.000231,32.681859,2.122734
10217,2020-08-20,DE-SH,74.738833,2963153.945375,2415922.105675,294.665815,0.000662,18.215370999999998,2.992385
10271,2020-08-21,DE-SH,80.13723900000001,3771254.747263,2417317.2155939997,295.02527299999997,0.00441,21.021895,3.702685
10325,2020-08-22,DE-SH,76.872383,8600581.808534,2421842.232127,292.414903,0.002538,25.768097,4.803634
10379,2020-08-23,DE-SH,81.80284300000001,7033198.888739999,2421509.7267650003,290.123891,0.004748,21.507596,4.860169
10433,2020-08-24,DE-SH,88.52845699999999,3134000.3986259997,2422944.183534,288.394672,0.009483,16.485255,2.731645
10487,2020-08-25,DE-SH,79.430971,6452010.498101001,2414813.505362,288.513524,0.006734,19.551385,3.514842
10541,2020-08-26,DE-SH,88.818771,1698478.358174,2392482.516979,289.94711,0.016124,17.110813,6.604666
10595,2020-08-27,DE-SH,74.747252,6830622.238605999,2423589.658512,288.545332,0.001442,20.238159,4.6593290000000005
10649,2020-08-28,DE-SH,82.369664,5029750.849307,2400229.016197,288.58946000000003,0.008440000000000001,16.820822,2.989758
