,date,iso3166-2,RelativeHumiditySurface,SolarRadiation,Surfacepressure,TemperatureAboveGround,Totalprecipitation,UVIndex,WindSpeed
11125,2020-09-06,DE-BE,67.849621,10580119.048951,2429972.1416080003,288.343618,4.2e-05,26.209789999999998,3.5126169999999997
11179,2020-09-07,DE-BE,70.361073,9288092.979021,2440828.606643,288.021208,0.00033999999999999997,24.286713,2.835985
11233,2020-09-08,DE-BE,69.727738,2672261.88986,2443092.8846150003,289.926222,1.1e-05,21.622378,4.251923000000001
11287,2020-09-09,DE-BE,73.592102,3802102.5804199995,2432263.6083919997,293.053674,0.001188,18.125874,3.974534
11341,2020-09-10,DE-BE,70.142454,6662742.657343,2435422.085664,288.071473,4.2e-05,21.895104999999997,3.11722
11395,2020-09-11,DE-BE,65.399622,9037222.678322,2429206.805944,289.107316,0.0,24.0,2.117337
11449,2020-09-12,DE-BE,64.063024,13010776.153846001,2430401.966783,291.214452,0.0,24.0,3.532139
11503,2020-09-13,DE-BE,68.66995899999999,10540652.118881,2446771.265734,290.728991,0.0,22.699301000000002,2.924301
11557,2020-09-14,DE-BE,66.272436,12286854.657343,2449728.631119,293.69674,0.0,21.748251999999997,1.968706
11611,2020-09-15,DE-BE,64.713725,12269110.979021,2435863.431818,295.723369,0.0,20.538462,2.9687650000000003
11665,2020-09-16,DE-BE,64.507343,7910266.286713,2427587.8199299998,295.158044,5.6999999999999996e-05,20.909091,3.156993
11719,2020-09-17,DE-BE,58.155156999999996,8722978.048951,2452689.6153849997,288.11710800000003,3.3e-05,21.0,3.712937
11773,2020-09-18,DE-BE,58.590502,12170430.65035,2455530.643357,286.04783399999997,0.0,20.076923,1.875321
11827,2020-09-19,DE-BE,53.545513,8608473.895105,2441745.713287,287.593152,0.0,17.790210000000002,3.147349
11881,2020-09-20,DE-BE,55.117716,9653329.944056,2433529.97028,288.852708,2.8999999999999997e-05,18.0,3.195804
11935,2020-09-21,DE-BE,60.172989,11741734.335664,2427494.265734,289.752795,0.0,18.0,2.438374
11989,2020-09-22,DE-BE,64.575786,11226724.412587,2410843.484266,291.215995,0.0,18.0,2.292191
12043,2020-09-23,DE-BE,64.052155,9857892.132867,2397945.812937,292.386017,8.7e-05,18.0,2.2015439999999997
12097,2020-09-24,DE-BE,65.079604,5168964.244755,2395349.022727,290.374038,0.000519,15.377622,3.545746
12151,2020-09-25,DE-BE,87.465032,565326.721372,2379878.0944060003,286.255773,0.017664,9.86014,2.4466200000000002
12205,2020-09-26,DE-BE,91.172666,3340.6386899999998,2373171.438811,283.393273,0.027601,8.384615,4.209324
12259,2020-09-27,DE-BE,84.615734,738920.186407,2397498.744755,283.088346,0.0019879999999999997,12.076922999999999,2.1426279999999998
12313,2020-09-28,DE-BE,70.658275,8934670.461538,2414577.966783,286.945247,0.00011599999999999999,16.0,2.451777
12367,2020-09-29,DE-BE,73.363578,4107723.2552449997,2424951.687063,287.153233,0.000105,12.391608,1.489918
12421,2020-09-30,DE-BE,79.55029,5918614.527972,2423279.8986009997,286.575376,2e-06,14.496503,1.386859
12475,2020-10-01,DE-BE,88.78065,1619294.393357,2402360.515734,285.600322,7.900000000000001e-05,11.538461999999999,2.109178
12529,2020-10-02,DE-BE,85.435344,935345.637675,2389458.421329,287.21270499999997,0.0002,8.335664,4.497756
