index,date,iso3166-2,RelativeHumiditySurface,SolarRadiation,Surfacepressure,TemperatureAboveGround,Totalprecipitation,UVIndex,WindSpeed
4649,2020-05-09,DE-HE,60.30731899999999,7981654.902000999,2344712.821508,288.032879,0.000779,21.209707,2.181084
4703,2020-05-10,DE-HE,77.594101,7899075.381438,2328621.187569,288.188918,0.003073,25.741386,2.087054
4757,2020-05-11,DE-HE,78.900849,713110.646105,2334992.191089,278.573171,0.008295,17.279363,5.445288
4811,2020-05-12,DE-HE,62.753032,12309356.435717,2353939.1176360003,279.284016,1e-06,33.694331,2.027123
4865,2020-05-13,DE-HE,60.354338,8518098.653575,2342402.312708,281.400416,0.000101,27.401259999999997,2.328243
4919,2020-05-14,DE-HE,63.682506999999994,6059589.991756,2353411.567247,281.537851,0.000156,33.206742999999996,3.822893
4973,2020-05-15,DE-HE,55.587051,15185738.829937,2359663.896814,282.472218,3e-06,33.929974,3.183495
5027,2020-05-16,DE-HE,55.51718,18175355.12375,2365081.128566,284.228036,0.0,38.86143,2.056396
5081,2020-05-17,DE-HE,56.652581000000005,17551983.614672,2368171.1641349997,285.3274,0.0,39.363096999999996,2.378546
5135,2020-05-18,DE-HE,56.354914,18938720.415339,2367839.981011,288.277806,0.0,36.918859000000005,2.521048
5189,2020-05-19,DE-HE,54.001523,14709931.407003,2364239.8002959997,290.45241699999997,8e-05,36.074472,2.59435
5243,2020-05-20,DE-HE,67.04379,4182179.577853,2365740.609763,289.454785,0.000325,27.706187,2.507822
5297,2020-05-21,DE-HE,62.101772,20721011.188588,2366124.7309189998,290.10297099999997,1e-06,40.217858,1.9528849999999998
5351,2020-05-22,DE-HE,70.851496,2043036.739441,2361458.5719709997,291.28833399999996,0.004138,25.03668,2.8631990000000003
5405,2020-05-23,DE-HE,75.563315,1141582.948366,2370294.169137,285.663665,0.00417,24.198222,3.7010959999999997
5459,2020-05-24,DE-HE,73.739425,8510428.550760001,2381425.390793,284.851727,0.00179,26.060022,4.070344
5513,2020-05-25,DE-HE,68.337936,9860773.760282,2388295.361893,286.999907,0.000593,28.142645,4.1026370000000005
5567,2020-05-26,DE-HE,65.736129,9895456.381623,2395135.17488,285.993156,8.7e-05,34.708040000000004,2.0710319999999998
5621,2020-05-27,DE-HE,57.460758999999996,14190390.899592001,2390129.809559,288.716411,7.099999999999999e-05,39.894034999999995,1.8746369999999999
5675,2020-05-28,DE-HE,50.780464,22373556.984809,2384988.397925,288.037129,9.6e-05,41.536495,4.205951
5729,2020-05-29,DE-HE,50.18593,18877145.5402,2376847.9832349997,287.34539900000004,0.0,41.870693,3.055128
5783,2020-05-30,DE-HE,48.918478,16137156.207114002,2368763.5914229997,287.404208,1.4999999999999999e-05,38.08781,3.867406
5837,2020-05-31,DE-HE,55.111026,10412641.930158999,2366140.199796,287.188928,0.0,35.502038,3.247201
5891,2020-06-01,DE-HE,52.420403,22948418.830678,2364812.8715259996,290.308805,0.0,43.701741,2.993843
5945,2020-06-02,DE-HE,48.714765,21345884.411263,2353008.389403,292.123569,0.0,42.913301000000004,2.132199
5999,2020-06-03,DE-HE,58.463071,14159473.653204998,2325885.901908,291.34454300000004,0.001003,33.826602,2.086992
6053,2020-06-04,DE-HE,87.85619200000001,1843430.7959200002,2306001.582623,286.306393,0.009028,18.180808,2.424785
6107,2020-06-05,DE-HE,80.140843,9098747.193219999,2308638.769637,283.36992799999996,0.007603,21.832901,4.6222970000000005
6161,2020-06-06,DE-HE,77.194536,9837351.693961,2320582.001667,284.12467000000004,0.0037020000000000004,29.309374,3.9997480000000003
6215,2020-06-07,DE-HE,66.60770600000001,7041067.891441001,2334530.0227860003,286.126328,0.000205,27.989996,3.045731
6269,2020-06-08,DE-HE,66.871083,12488630.047054,2346799.261208,286.641727,0.001099,30.762134000000003,1.701093
6323,2020-06-09,DE-HE,75.37661700000001,5104622.00565,2351914.000371,286.853271,0.003418,25.713598,2.3845650000000003
6377,2020-06-10,DE-HE,81.060918,3087492.192456,2347521.984809,287.213568,0.00165,22.398296,2.7269
6431,2020-06-11,DE-HE,83.95892099999999,4074405.4452580004,2339513.1952580004,287.560642,0.002167,25.311967000000003,2.1539040000000003
6485,2020-06-12,DE-HE,68.314474,17973954.307892002,2334458.8970919997,292.605314,0.000197,46.127455,3.378484
6539,2020-06-13,DE-HE,66.13328100000001,13407723.706186999,2339460.5464990004,294.11751200000003,0.009347,42.902557,2.960887
6593,2020-06-14,DE-HE,85.599822,4229885.44535,2345617.358929,290.695963,0.014969999999999999,22.085587,3.212255
6647,2020-06-15,DE-HE,87.376076,560783.400316,2353624.291312,289.056161,0.007687,23.290478,2.669658
6701,2020-06-16,DE-HE,87.735998,3288189.012736,2351404.626343,289.388431,0.00488,24.011855999999998,1.7312029999999998
6755,2020-06-17,DE-HE,85.283929,7046167.144127,2341970.493794,290.08738,0.011281999999999999,28.081512,2.180088
6809,2020-06-18,DE-HE,81.23147,4861968.013848,2344480.267321,289.41322,0.002705,28.601334,2.326698
6863,2020-06-19,DE-HE,72.994809,10705414.525194999,2352677.653575,290.151227,0.0005200000000000001,30.415709999999997,2.658353
6917,2020-06-20,DE-HE,69.470478,12037185.575584,2362405.8047419996,290.460422,0.0006,34.713598,2.546533
6971,2020-06-21,DE-HE,63.182887,12235832.535013001,2363040.569563,291.62573199999997,0.000102,46.05113,1.8054869999999998
7025,2020-06-22,DE-HE,68.96771,8224847.778714,2370819.609948,291.328865,0.000601,34.827714,2.541227
7079,2020-06-23,DE-HE,58.533251,22394635.237495,2373671.621063,292.22640099999995,0.0,47.113375,2.177762
7133,2020-06-24,DE-HE,53.931459,22713914.915154003,2369001.470823,293.10627400000004,0.0,46.626158000000004,3.097826
7187,2020-06-25,DE-HE,64.71592700000001,14291749.880697,2360259.76658,293.104143,0.000197,38.427935999999995,3.0579970000000003
7241,2020-06-26,DE-HE,61.053305,20684442.843275,2347412.937477,294.087871,3.2e-05,46.705446,2.715601
7295,2020-06-27,DE-HE,68.246088,12351489.748425,2343466.351704,294.81654,0.006779,35.1897,3.461033
7349,2020-06-28,DE-HE,71.503714,7335665.732864,2348756.7767689996,291.50341299999997,0.002483,26.699147999999997,3.73421
7403,2020-06-29,DE-HE,67.591827,12884642.103742,2345430.898944,289.518378,0.0009119999999999999,42.635791,3.3969449999999997
7457,2020-06-30,DE-HE,60.399899,10177703.053167999,2341812.047147,289.678869,7.3e-05,33.515376,4.6462959999999995
7511,2020-07-01,DE-HE,68.468969,7021198.680714999,2336363.316969,292.932341,0.004465,37.078918,4.175141
7565,2020-07-02,DE-HE,74.632085,11402480.952946,2343535.77575,291.047392,0.003332,37.969248,3.250465
7619,2020-07-03,DE-HE,67.492494,7240906.844572,2356629.2600040003,289.970663,0.000315,40.108559,2.9051270000000002
7673,2020-07-04,DE-HE,61.044564,14245335.346239,2354782.49083,291.77910099999997,7e-05,31.675434999999997,4.581929
7727,2020-07-05,DE-HE,68.531162,2296906.76394,2346590.6093,293.990138,0.000983,30.518711,5.751798
7781,2020-07-06,DE-HE,63.13150699999999,11699433.619858999,2353393.829196,287.97664100000003,0.000817,35.651352,4.725258999999999
7835,2020-07-07,DE-HE,62.640987,8306078.986847,2360976.856891,287.939365,0.00041900000000000005,43.819192,2.289454
7889,2020-07-08,DE-HE,84.417665,384287.60495300003,2353854.657003,287.058579,0.006268999999999999,21.455354,2.163593
7943,2020-07-09,DE-HE,74.10605600000001,6103770.840867,2347830.719618,292.52461,0.003181,32.077436,3.472663
7997,2020-07-10,DE-HE,70.49561899999999,9546270.529085001,2346112.011486,290.937181,0.000665,24.060763,4.105328
8051,2020-07-11,DE-HE,62.265475,12388081.155984,2369775.706743,287.96745400000003,0.000197,39.741386,2.439396
8105,2020-07-12,DE-HE,58.163848,11628594.798073,2376692.262319,288.969346,0.00016999999999999999,45.794739,2.235132
8159,2020-07-13,DE-HE,51.888845,15126091.173398001,2366466.0718779997,291.24377000000004,0.0,38.966284,1.9259369999999998
8213,2020-07-14,DE-HE,57.456306000000005,10802088.436087,2349357.7447200003,291.78403399999996,0.002572,37.637273,2.279721
8267,2020-07-15,DE-HE,76.401262,9410964.201741,2347823.474805,288.876898,0.007506999999999999,28.764357,2.432867
8321,2020-07-16,DE-HE,85.767972,300528.317752,2355613.628751,287.232446,0.002584,20.929973999999998,1.673674
